country_name,year,total_fertility_rate,growth_rate,midyear_population,midyear_population_male,midyear_population_female,max_age,kids,adults,youth,seniors,infant_mortality,infant_mortality_male,infant_mortality_female,life_expectancy,life_expectancy_male,life_expectancy_female,mortality_rate_under5
Nigeria,1962,7.195,2.91,44036444,45336316,42736572,100.0,20009258,14513959,8418289,1094938,136.35,140.98,131.43,43.29,42.89,43.71,238.55
Bhutan,1962,6.6659,4.0760000000000005,225044,229988,220100,94.5,95540,80082,43298,6124,166.96,175.54,157.95,43.96,43.39,44.55,279.71
Cambodia,1962,7.4,2.745,6083619,6100338,6066900,100.0,2802305,2060373,1070830,150111,197.49,214.15,180.09,43.44,42.01,44.94,269.33
Djibouti,1962,6.4124,4.822,122681,122826,122536,96.0,51201,44499,23283,3698,150.21,159.98,140.14,45.11,43.98,46.28,220.74
Bhutan,1963,6.6655,4.063,234392,240422,228362,94.5,98448,84256,45340,6348,165.74,174.2,156.87,44.15,43.59,44.75,277.3
Djibouti,1963,6.4166,4.846,128813,128952,128674,97.0,53875,46656,24396,3886,148.07,157.7,138.15,45.48,44.33,46.67,217.3
Guinea,1963,6.0304,1.827,3193668,3057722,3329614,97.0,1344570,1159748,602020,87330,193.63,207.47,179.38,34.4,33.0,35.84,329.69
Cambodia,1963,7.2875,2.75,6253081,6267820,6238342,100.0,2887892,2113679,1097342,154168,194.82,211.4,177.5,43.8,42.34,45.33,265.46
Nigeria,1963,7.195,2.911,45336634,46677368,43995900,100.0,20605479,14945951,8658202,1127002,135.42,140.14,130.42,43.37,42.96,43.81,237.75
Cambodia,1964,7.175,2.7119999999999997,6426174,6439304,6413044,100.0,2969476,2168203,1129759,158736,192.17,208.67,174.94,44.15,42.66,45.71,261.61
Guinea,1964,6.0253,1.845,3252861,3116298,3389424,96.5,1371182,1179245,613124,89310,190.01,203.5,176.1,34.87,33.47,36.3,324.39
Nigeria,1964,7.195,2.926,46678988,48061884,45296092,100.0,21229257,15392222,8897353,1160156,134.5,139.3,129.42,43.46,43.03,43.91,236.98
Chad,1964,6.156000000000001,2.226,3271357,3231512,3311202,99.0,1390866,1162982,622073,95436,171.96,185.39,157.99,38.15,36.57,39.78,289.94
Djibouti,1964,6.4122,4.862,135281,135408,135154,92.5,56704,48927,25565,4085,146.14,155.9,136.1,45.84,44.66,47.05,214.0
Bhutan,1964,6.6652,4.04,244084,251198,236970,95.5,101614,88598,47294,6578,164.54,172.86,155.8,44.35,43.79,44.94,274.91
Nigeria,1965,7.195,2.9389999999999996,48067793,49495090,46640496,100.0,21879958,15856150,9137193,1194492,133.59,138.47,128.42,43.54,43.09,44.01,236.2
Chad,1965,6.2341,2.22,3344520,3303030,3386010,98.5,1424716,1187344,635062,97398,170.43,184.17,156.15,37.7,35.49,39.98,288.39
Djibouti,1965,6.4154,4.882,142092,142214,141970,92.5,59695,51302,26800,4295,144.08,153.67,134.21,46.18,44.97,47.43,210.58
Bhutan,1965,6.6648,4.013,254114,262308,245920,96.5,105030,93106,49160,6818,163.35,171.54,154.74,44.54,43.99,45.13,272.54
Cambodia,1965,7.0625,2.675,6601609,6613048,6590170,100.0,3046139,2223409,1168292,163769,189.56,205.97,172.41,44.5,42.98,46.09,257.84
Guinea,1965,6.0201,1.861,3313707,3176386,3451028,96.5,1399068,1199060,624197,91382,186.47,199.62,172.92,35.33,33.94,36.76,319.16
Nigeria,1966,7.195,2.915,49495086,50966336,48023836,100.0,22550846,16331293,9383021,1229926,132.68,137.64,127.44,43.62,43.16,44.11,235.42
Guinea,1966,6.0149,1.876,3376211,3237996,3514426,97.0,1428535,1219327,634805,93544,182.96,195.79,169.75,35.8,34.41,37.22,313.96
Djibouti,1966,6.4147,4.9,149283,149388,149178,92.5,62843,53808,28113,4519,141.83,151.53,131.84,46.55,45.31,47.83,206.95
Cambodia,1966,6.95,2.642,6779482,6789148,6769816,100.0,3118723,2278686,1212866,169207,186.98,203.31,169.91,44.85,43.3,46.47,254.09
Chad,1966,6.312,2.21,3419366,3374258,3464474,99.0,1460818,1211088,647990,99470,168.86,182.89,154.27,37.24,34.34,40.25,286.21
Bhutan,1966,6.6645,3.9810000000000003,264478,273748,255208,97.5,108830,97777,50801,7070,162.16,170.23,153.69,44.74,44.18,45.32,270.18
Bhutan,1967,6.6641,3.948,275175,285518,264832,98.5,112866,102618,52362,7329,160.98,168.92,152.64,44.93,44.38,45.51,267.84
Guinea,1967,6.0096,1.889,3440361,3301144,3579578,97.5,1459432,1240149,644983,95797,179.52,192.03,166.65,36.26,34.88,37.68,308.84
Nigeria,1967,7.195,2.892,50952753,52464836,49440670,100.0,23234170,16810231,9641979,1266373,131.78,136.81,126.45,43.7,43.22,44.21,234.66
Chad,1967,6.39,2.206,3495635,3444546,3546724,99.5,1499377,1233877,660745,101636,167.33,181.66,152.44,36.71,33.04,40.52,284.04
Djibouti,1967,6.4143,4.919,156868,156960,156776,93.5,66155,56445,29514,4754,139.66,149.31,129.73,46.94,45.67,48.24,203.38
Cambodia,1967,6.8375,2.6060000000000003,6959721,6967524,6951918,100.0,3187805,2334151,1262755,175010,184.42,200.67,167.45,45.2,43.62,46.84,250.38
Cambodia,1968,6.725,2.576,7142389,7148242,7136536,99.5,3253827,2388372,1319038,181152,181.9,198.06,165.01,45.54,43.94,47.21,246.74
Nigeria,1968,7.195,2.8989999999999996,52449374,54001484,50897264,100.0,23935587,17297750,9912127,1303910,130.89,135.99,125.48,43.78,43.29,44.3,233.89
Guinea,1968,6.0044,1.902,3506216,3365878,3646554,98.0,1491074,1261415,655572,98155,176.14,188.32,163.59,36.72,35.35,38.14,303.8
Djibouti,1968,6.4144,4.441,164437,164514,164360,93.5,69474,59061,30914,4988,137.41,147.15,127.37,47.3,46.01,48.64,199.85
Bhutan,1968,6.6638,3.9130000000000003,286206,297618,274794,96.5,117143,107570,53900,7593,159.81,167.63,151.6,45.12,44.57,45.7,265.52
Chad,1968,6.3901,2.135,3572229,3512342,3632116,99.0,1539811,1255348,673168,103902,165.8,180.42,150.61,36.11,31.6,40.79,281.91
Nigeria,1969,7.195,2.909,53994532,55588266,52400798,100.0,24656398,17800560,10194861,1342713,130.0,135.17,124.51,43.86,43.36,44.4,233.14
Djibouti,1969,6.4147,4.46,171981,172038,171924,93.5,72777,61652,32327,5225,135.4,144.96,125.54,47.67,46.35,49.03,196.43
Guinea,1969,5.9993,1.9180000000000001,3573863,3432282,3715444,98.0,1522872,1282966,667427,100598,172.81,184.68,160.59,37.19,35.82,38.59,298.8
Uganda,1969,7.5482,2.783,9449977,9558662,9341292,100.0,4422777,2985393,1654451,387356,119.83,128.31,111.08,46.29,45.71,46.88,204.54
Gabon,1969,4.1448,2.13,503763,494090,513436,99.0,166646,220927,86370,29820,159.68,172.42,146.56,43.53,42.05,45.06,238.71
Chad,1969,6.3901,2.14,3649335,3579588,3719082,99.5,1580910,1276395,685808,106222,167.32,182.09,151.96,36.16,31.92,40.57,284.27
